pais,iso3,continente,anio,esperanza_vida,pib,poblacion
Argentina,ARG,Américas,1990,72.7,8149,33100000
Argentina,ARG,Américas,1991,72.8,8770,33500000
Argentina,ARG,Américas,1992,73,9339,34000000
Argentina,ARG,Américas,1993,73.4,9974,34400000
Argentina,ARG,Américas,1994,73.4,10423,34800000
Argentina,ARG,Américas,1995,73.5,10003,35200000
Argentina,ARG,Américas,1996,73.6,10431,35700000
Argentina,ARG,Américas,1997,73.7,11147,36100000
Argentina,ARG,Américas,1998,73.8,11446,36500000
Argentina,ARG,Américas,1999,74.2,10936,36900000
Argentina,ARG,Américas,2000,74.3,10731,37300000
Argentina,ARG,Américas,2001,74.3,10146,37700000
Argentina,ARG,Américas,2002,74.4,8943,38100000
Argentina,ARG,Américas,2003,74.9,9630,38500000
Argentina,ARG,Américas,2004,75.3,10389,38900000
Argentina,ARG,Américas,2005,75.4,11192,39300000
Argentina,ARG,Américas,2006,75.3,11971,39700000
Argentina,ARG,Américas,2007,75.7,12919,40100000
Argentina,ARG,Américas,2008,75.8,13311,40500000
Argentina,ARG,Américas,2009,75.9,12398,40900000
Argentina,ARG,Américas,2010,76,13551,41300000
Argentina,ARG,Américas,2011,76.2,14200,41800000
Argentina,ARG,Américas,2012,76.3,13896,42200000
Argentina,ARG,Américas,2013,76.5,14072,42600000
Argentina,ARG,Américas,2014,76.5,13568,43100000
Argentina,ARG,Américas,2015,76.2,13789,43500000
Argentina,ARG,Américas,2016,76.3,13360,43900000
Argentina,ARG,Américas,2017,76.5,13595,44400000
Argentina,ARG,Américas,2018,76.6,13105,44800000
Argentina,ARG,Américas,2019,74.6,12713,45200000
Argentina,ARG,Américas,2020,76.9,11344,45600000
Bolivia,BOL,Américas,1990,62,1744,7010000
Bolivia,BOL,Américas,1991,62.5,1798,7160000
Bolivia,BOL,Américas,1992,62.9,1789,7310000
Bolivia,BOL,Américas,1993,63.6,1827,7470000
Bolivia,BOL,Américas,1994,64,1873,7620000
Bolivia,BOL,Américas,1995,64.6,1920,7780000
Bolivia,BOL,Américas,1996,65,1964,7940000
Bolivia,BOL,Américas,1997,65.5,2020,8100000
Bolivia,BOL,Américas,1998,66,2080,8260000
Bolivia,BOL,Américas,1999,66.5,2048,8420000
Bolivia,BOL,Américas,2000,67.2,2059,8580000
Bolivia,BOL,Américas,2001,67.6,2054,8740000
Bolivia,BOL,Américas,2002,68.1,2066,8910000
Bolivia,BOL,Américas,2003,68.6,2083,9070000
Bolivia,BOL,Américas,2004,69,2131,9230000
Bolivia,BOL,Américas,2005,69.3,2186,9400000
Bolivia,BOL,Américas,2006,69.6,2251,9560000
Bolivia,BOL,Américas,2007,69.8,2314,9720000
Bolivia,BOL,Américas,2008,70.1,2415,9880000
Bolivia,BOL,Américas,2009,70.3,2455,10000000
Bolivia,BOL,Américas,2010,70.5,2514,10200000
Bolivia,BOL,Américas,2011,70.7,2603,10400000
Bolivia,BOL,Américas,2012,70.9,2693,10500000
Bolivia,BOL,Américas,2013,71.1,2831,10700000
Bolivia,BOL,Américas,2014,71.3,2939,10900000
Bolivia,BOL,Américas,2015,71.5,3036,11000000
Bolivia,BOL,Américas,2016,71.7,3119,11200000
Bolivia,BOL,Américas,2017,71.8,3203,11400000
Bolivia,BOL,Américas,2018,72,3291,11500000
Bolivia,BOL,Américas,2019,69.8,3317,11700000
Bolivia,BOL,Américas,2020,72.5,2986,11800000
Chile,CHL,Américas,1990,74.2,5409,13500000
Chile,CHL,Américas,1991,74.7,5736,13700000
Chile,CHL,Américas,1992,75,6272,13900000
Chile,CHL,Américas,1993,75.2,6577,14200000
Chile,CHL,Américas,1994,75.3,6800,14400000
Chile,CHL,Américas,1995,75.5,7297,14600000
Chile,CHL,Américas,1996,76,7683,14800000
Chile,CHL,Américas,1997,76.2,8140,15000000
Chile,CHL,Américas,1998,76.5,8372,15200000
Chile,CHL,Américas,1999,76.9,8247,15300000
Chile,CHL,Américas,2000,77,8556,15500000
Chile,CHL,Américas,2001,77.4,8727,15700000
Chile,CHL,Américas,2002,77.4,8910,15800000
Chile,CHL,Américas,2003,77.6,9233,16000000
Chile,CHL,Américas,2004,77.9,9748,16200000
Chile,CHL,Américas,2005,78.2,10210,16399999.999999998
Chile,CHL,Américas,2006,78.4,10714,16500000
Chile,CHL,Américas,2007,78.7,11148,16700000
Chile,CHL,Américas,2008,78.6,11447,16900000
Chile,CHL,Américas,2009,78.6,11200,17100000
Chile,CHL,Américas,2010,79,11733,17200000
Chile,CHL,Américas,2011,79.2,12339,17400000
Chile,CHL,Américas,2012,79.3,12973,17600000
Chile,CHL,Américas,2013,79.5,13272,17800000
Chile,CHL,Américas,2014,79.6,13367,18000000
Chile,CHL,Américas,2015,80,13495,18200000
Chile,CHL,Américas,2016,80,13551,18500000
Chile,CHL,Américas,2017,80.1,13540,18700000
Chile,CHL,Américas,2018,80.2,13886,19000000
Chile,CHL,Américas,2019,79.1,13829,19100000
Chile,CHL,Américas,2020,80.5,12890,19200000
Paraguay,PRY,Américas,1990,76.5,3879,4330000
Paraguay,PRY,Américas,1991,76,3912,4450000
Paraguay,PRY,Américas,1992,75.8,3879,4560000
Paraguay,PRY,Américas,1993,75.7,3972,4670000
Paraguay,PRY,Américas,1994,75.4,4084,4780000
Paraguay,PRY,Américas,1995,75.1,4262,4890000
Paraguay,PRY,Américas,1996,75.5,4231,5000000
Paraguay,PRY,Américas,1997,75.6,4313,5110000
Paraguay,PRY,Américas,1998,75.5,4223,5220000
Paraguay,PRY,Américas,1999,75.6,4079,5320000
Paraguay,PRY,Américas,2000,76,3904,5430000
Paraguay,PRY,Américas,2001,76.1,3797,5530000
Paraguay,PRY,Américas,2002,75.8,3725,5630000
Paraguay,PRY,Américas,2003,75.2,3816,5730000
Paraguay,PRY,Américas,2004,75.6,3903,5820000
Paraguay,PRY,Américas,2005,75.6,3923,5910000
Paraguay,PRY,Américas,2006,76,4049,6000000
Paraguay,PRY,Américas,2007,76,4208,6080000
Paraguay,PRY,Américas,2008,75.8,4420,6160000
Paraguay,PRY,Américas,2009,75.7,4350,6250000
Paraguay,PRY,Américas,2010,76,4767,6330000
Paraguay,PRY,Américas,2011,76.2,4904,6420000
Paraguay,PRY,Américas,2012,76,4803,6510000
Paraguay,PRY,Américas,2013,76.4,5130,6600000
Paraguay,PRY,Américas,2014,76.5,5329,6690000
Paraguay,PRY,Américas,2015,76.1,5414,6780000
Paraguay,PRY,Américas,2016,76.3,5571,6870000
Paraguay,PRY,Américas,2017,76.5,5763,6960000
Paraguay,PRY,Américas,2018,76.6,5871,7040000
Paraguay,PRY,Américas,2019,75.7,5774,7130000
Paraguay,PRY,Américas,2020,76.8,5656,7220000
Perú,PER,Américas,1990,69.2,2700,22500000
Perú,PER,Américas,1991,70,2705,23000000
Perú,PER,Américas,1992,70.6,2638,23400000
Perú,PER,Américas,1993,71.2,2724,23900000
Perú,PER,Américas,1994,71.5,3002,24300000
Perú,PER,Américas,1995,72.5,3165,24800000
Perú,PER,Américas,1996,73,3194,25200000
Perú,PER,Américas,1997,73.4,3340,25700000
Perú,PER,Américas,1998,74.4,3268,26100000
Perú,PER,Américas,1999,74.6,3264,26500000
Perú,PER,Américas,2000,75.5,3304,26800000
Perú,PER,Américas,2001,75.9,3282,27100000
Perú,PER,Américas,2002,76,3422,27400000
Perú,PER,Américas,2003,76.7,3529,27600000
Perú,PER,Américas,2004,77.2,3671,27900000
Perú,PER,Américas,2005,77.7,3868,28100000
Perú,PER,Américas,2006,78.3,4124,28300000
Perú,PER,Américas,2007,78.5,4439,28600000
Perú,PER,Américas,2008,77.4,4805,28800000
Perú,PER,Américas,2009,77.3,4819,29000000
Perú,PER,Américas,2010,77.7,5178,29300000
Perú,PER,Américas,2011,78,5461,29500000
Perú,PER,Américas,2012,78.4,5749,29800000
Perú,PER,Américas,2013,78.9,6030,30100000
Perú,PER,Américas,2014,79.4,6109,30500000
Perú,PER,Américas,2015,79.6,6229,30900000
Perú,PER,Américas,2016,79.8,6380,31400000
Perú,PER,Américas,2017,80,6433,32000000
Perú,PER,Américas,2018,80.3,6574,32500000
Perú,PER,Américas,2019,77.4,6614,33000000
Perú,PER,Américas,2020,80.7,5807,33400000
Uruguay,URY,Américas,1990,73.4,7705,3130000
Uruguay,URY,Américas,1991,73.5,7921,3150000
Uruguay,URY,Américas,1992,73.3,8488,3180000
Uruguay,URY,Américas,1993,73.6,8649,3200000
Uruguay,URY,Américas,1994,73.7,9211,3220000
Uruguay,URY,Américas,1995,73.9,9013,3250000
Uruguay,URY,Américas,1996,74.1,9448,3270000
Uruguay,URY,Américas,1997,74.1,10184,3290000
Uruguay,URY,Américas,1998,74.4,10577,3310000
Uruguay,URY,Américas,1999,74.8,10318,3320000
Uruguay,URY,Américas,2000,75,10083,3330000
Uruguay,URY,Américas,2001,75,9679,3330000
Uruguay,URY,Américas,2002,75,8929,3320000
Uruguay,URY,Américas,2003,75.2,9008,3320000
Uruguay,URY,Américas,2004,75.5,9464,3320000
Uruguay,URY,Américas,2005,75.9,10170,3330000
Uruguay,URY,Américas,2006,75.7,10575,3330000
Uruguay,URY,Américas,2007,76.2,11245,3340000
Uruguay,URY,Américas,2008,76.5,12022,3350000
Uruguay,URY,Américas,2009,76.5,12496,3360000
Uruguay,URY,Américas,2010,76.4,13433,3370000
Uruguay,URY,Américas,2011,76.5,14086,3380000
Uruguay,URY,Américas,2012,76.8,14541,3390000
Uruguay,URY,Américas,2013,77.1,15168,3400000
Uruguay,URY,Américas,2014,77.1,15609,3410000
Uruguay,URY,Américas,2015,77.3,15614,3420000
Uruguay,URY,Américas,2016,77.3,15821,3440000
Uruguay,URY,Américas,2017,77.5,16020,3450000
Uruguay,URY,Américas,2018,77.5,16038,3460000
Uruguay,URY,Américas,2019,77.3,16036,3470000
Uruguay,URY,Américas,2020,77.8,15003,3490000
